Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,50.5,43.4,38.8,43.0,39.7,36.1,96.0,87.0,72.0,8.9,1.9,0.0,30.03,29.89,0.0
1/2/2024,48.9,42.1,36.5,48.6,41.1,35.6,99.0,96.0,90.0,7.6,1.0,0.0,30.05,29.94,0.0
1/3/2024,53.2,51.2,48.2,52.9,50.5,46.8,99.0,98.0,88.0,10.7,2.6,0.0,29.98,29.87,0.08
1/4/2024,51.1,48.8,45.1,50.5,48.5,44.8,99.0,99.0,98.0,7.2,0.9,0.0,29.94,29.65,0.38
1/5/2024,48.2,44.0,38.8,46.4,38.3,32.2,99.0,81.0,60.0,13.6,5.0,0.0,29.79,29.59,0.17
1/6/2024,48.7,42.5,38.5,36.0,34.1,32.4,79.0,72.0,59.0,14.3,5.2,0.0,29.99,29.77,0.0
1/7/2024,51.1,41.8,36.0,34.5,32.6,30.6,83.0,71.0,47.0,11.2,2.8,0.0,30.03,29.94,0.0
1/8/2024,48.0,39.6,32.9,36.5,33.1,29.5,87.0,78.0,60.0,5.1,1.1,0.0,30.0,29.89,0.0
1/9/2024,46.0,41.5,38.7,40.8,38.3,36.0,93.0,88.0,81.0,4.7,1.0,0.0,29.93,29.86,0.0
1/10/2024,44.6,41.8,39.2,42.4,40.2,37.8,98.0,94.0,90.0,10.1,2.5,0.0,29.94,29.86,0.01
1/11/2024,51.3,41.2,34.9,41.2,35.7,29.7,98.0,82.0,52.0,7.2,1.4,0.0,30.04,29.87,0.0
1/12/2024,45.3,37.3,30.4,35.6,30.7,26.4,85.0,77.0,63.0,7.4,1.8,0.0,30.12,30.02,0.0
1/13/2024,47.7,42.1,37.2,41.2,36.7,30.4,87.0,81.0,74.0,5.8,1.1,0.0,30.13,30.0,0.0
1/14/2024,50.9,45.1,41.2,49.8,42.4,38.5,96.0,91.0,84.0,10.1,1.6,0.0,30.02,29.86,0.02
1/15/2024,55.4,52.5,50.0,55.0,52.1,49.5,99.0,99.0,96.0,13.6,3.6,0.0,29.88,29.76,0.5
1/16/2024,59.4,54.8,51.3,55.4,52.2,46.9,99.0,91.0,72.0,13.6,4.2,0.0,29.81,29.62,0.01
1/17/2024,54.3,51.6,47.1,51.8,49.6,46.0,99.0,93.0,85.0,18.6,5.7,0.0,29.63,29.42,0.72
1/18/2024,57.4,51.6,49.6,52.0,49.8,48.2,98.0,93.0,81.0,17.2,5.1,0.0,29.69,29.6,0.06
1/19/2024,50.4,44.1,36.5,50.0,43.2,32.4,99.0,97.0,85.0,16.3,3.3,0.0,29.77,29.48,1.34
1/20/2024,52.3,41.1,34.2,43.9,36.0,31.3,97.0,83.0,52.0,8.3,1.5,0.0,30.23,29.77,0.0
1/21/2024,54.3,44.5,36.9,44.1,40.4,35.2,97.0,86.0,65.0,5.8,0.4,0.0,30.36,30.21,0.0
1/22/2024,54.7,43.3,36.5,47.8,41.3,35.8,98.0,93.0,77.0,5.1,0.5,0.0,30.43,30.33,0.0
1/23/2024,63.1,48.1,38.8,53.6,45.3,38.3,99.0,91.0,69.0,4.9,0.4,0.0,30.49,30.39,0.01
1/24/2024,66.9,55.0,45.5,56.5,50.3,43.7,96.0,85.0,65.0,4.0,0.5,0.0,30.48,30.38,0.0
1/25/2024,67.1,54.8,44.8,54.7,49.2,42.6,93.0,82.0,60.0,4.3,0.3,0.0,30.41,30.28,0.0
1/26/2024,70.9,56.4,46.2,52.5,47.6,42.4,89.0,74.0,49.0,4.3,0.3,0.0,30.33,30.23,0.0
1/27/2024,65.8,55.6,47.8,49.8,45.3,41.4,83.0,69.0,48.0,6.7,0.9,0.0,30.25,30.15,0.0
1/28/2024,63.3,52.7,43.7,48.9,44.9,40.3,89.0,76.0,57.0,8.5,1.1,0.0,30.2,30.13,0.0
1/29/2024,58.5,51.3,44.8,48.4,45.0,41.7,91.0,80.0,60.0,11.0,1.8,0.0,30.26,30.15,0.0
1/30/2024,57.4,48.2,42.3,48.7,44.3,40.5,95.0,87.0,70.0,5.8,1.1,0.0,30.33,30.24,0.0
1/31/2024,55.6,45.9,39.9,47.7,42.7,38.1,95.0,89.0,73.0,5.8,1.1,0.0,30.39,30.31,0.0
2/1/2024,67.3,51.8,42.8,50.2,43.4,38.7,93.0,75.0,41.0,5.6,0.9,0.0,30.41,30.3,0.0
2/2/2024,61.5,52.0,41.7,47.5,42.3,36.9,89.0,70.0,56.0,9.8,1.6,0.0,30.33,30.23,0.0
2/3/2024,61.0,51.1,42.8,46.0,41.5,37.9,86.0,71.0,53.0,8.9,2.0,0.0,30.32,30.25,0.0
2/4/2024,67.8,51.8,39.4,43.2,38.8,33.8,82.0,62.0,37.0,4.7,0.5,0.0,30.31,30.23,0.0
2/5/2024,62.4,50.3,41.9,44.6,39.5,33.1,79.0,67.0,47.0,6.0,0.6,0.0,30.27,30.16,0.0
2/6/2024,60.8,49.6,42.1,49.5,44.1,39.4,91.0,82.0,62.0,8.5,2.0,0.0,30.17,30.08,0.0
2/7/2024,52.3,47.8,43.9,49.5,46.0,42.3,97.0,94.0,84.0,11.2,3.2,0.0,30.12,29.97,0.0
2/8/2024,55.4,48.6,44.1,48.4,45.0,38.5,97.0,89.0,54.0,15.4,2.9,0.0,29.98,29.48,0.06
2/9/2024,53.6,48.9,46.4,51.4,47.7,44.2,99.0,96.0,89.0,16.1,4.2,0.0,29.49,29.08,0.37
2/10/2024,52.0,45.0,40.5,44.8,39.1,31.1,98.0,81.0,57.0,18.3,5.3,0.0,29.65,29.14,0.04
2/11/2024,45.7,39.9,35.8,42.1,37.6,32.7,98.0,92.0,74.0,9.6,2.4,0.0,29.78,29.64,0.04
2/12/2024,57.7,48.4,41.4,52.5,46.5,40.6,99.0,94.0,81.0,12.8,2.9,0.0,30.0,29.67,0.0
2/13/2024,63.9,54.4,49.6,57.0,51.9,48.7,97.0,92.0,77.0,7.6,2.0,0.0,30.13,29.95,0.0
2/14/2024,65.1,55.3,48.0,57.4,52.7,47.5,99.0,92.0,74.0,9.8,1.1,0.0,30.13,29.98,0.0
2/15/2024,56.7,52.8,49.5,52.7,50.5,48.6,98.0,92.0,81.0,9.6,2.5,0.0,29.99,29.82,0.09
2/16/2024,59.7,51.5,46.8,48.9,43.8,40.6,99.0,76.0,54.0,11.9,3.7,0.0,30.19,29.92,0.0
2/17/2024,66.6,52.4,40.1,47.1,40.8,36.5,90.0,67.0,35.0,8.1,1.6,0.0,30.35,30.18,0.0
2/18/2024,67.1,53.1,41.7,44.1,38.6,33.1,78.0,59.0,35.0,6.3,0.7,0.0,30.41,30.32,0.0
2/19/2024,67.8,55.4,44.2,52.3,45.6,39.4,84.0,70.0,54.0,6.9,0.8,0.0,30.36,30.24,0.0
2/20/2024,66.6,54.2,43.5,46.9,39.8,34.5,79.0,60.0,36.0,5.8,1.2,0.0,30.3,30.17,0.0
2/21/2024,59.9,52.3,40.5,48.4,41.2,28.0,86.0,67.0,47.0,9.6,2.0,0.0,30.21,30.02,0.0
2/22/2024,54.0,50.0,45.5,51.4,46.9,36.1,97.0,89.0,69.0,17.7,5.8,0.0,30.04,29.67,0.11
2/23/2024,50.2,42.5,36.1,41.9,36.8,31.5,94.0,81.0,65.0,15.4,4.6,0.0,29.79,29.69,0.12
2/24/2024,52.3,42.5,36.3,38.8,35.4,30.7,96.0,78.0,46.0,13.6,4.1,0.0,29.9,29.68,0.0
2/25/2024,54.9,48.3,41.7,50.4,46.3,38.3,98.0,93.0,81.0,18.8,7.8,0.9,29.89,29.6,0.03
2/26/2024,52.3,46.5,41.7,49.8,39.1,31.3,99.0,77.0,50.0,16.3,5.8,0.0,29.79,29.54,0.05
2/27/2024,52.3,43.9,36.9,34.7,30.5,24.6,75.0,60.0,46.0,18.8,6.0,0.0,30.03,29.78,0.0
2/28/2024,59.5,47.8,38.8,39.2,33.7,25.3,74.0,59.0,43.0,13.6,3.6,0.0,30.06,29.99,0.0
2/29/2024,60.4,48.4,39.6,44.4,36.4,28.9,81.0,64.0,43.0,18.3,4.6,0.0,30.03,29.84,0.0
3/1/2024,56.5,45.5,37.2,40.5,33.7,28.0,86.0,64.0,48.0,16.8,4.8,0.0,30.0,29.79,0.0
3/2/2024,46.2,42.2,34.0,44.4,39.9,32.2,96.0,92.0,83.0,22.1,6.2,0.0,29.8,29.38,0.44
3/3/2024,50.0,41.6,32.0,39.0,34.4,30.0,94.0,77.0,51.0,18.3,3.9,0.0,29.88,29.57,0.28
3/4/2024,54.9,47.1,41.4,48.7,43.9,38.1,97.0,89.0,76.0,15.4,4.7,0.0,30.0,29.86,0.0
3/5/2024,57.4,47.6,39.9,39.0,36.5,34.0,82.0,66.0,45.0,13.2,2.3,0.0,30.11,29.99,0.0
3/6/2024,59.9,47.4,36.7,43.5,37.3,32.9,86.0,69.0,45.0,6.0,0.9,0.0,30.07,29.83,0.0
3/7/2024,54.0,44.3,38.8,45.7,39.2,34.0,96.0,83.0,63.0,18.8,2.6,0.0,29.84,29.54,0.35
3/8/2024,52.3,43.7,38.8,43.0,39.4,37.4,97.0,86.0,59.0,19.0,6.1,0.0,29.61,29.37,0.48
3/9/2024,48.6,42.0,39.0,45.5,39.5,36.7,96.0,91.0,72.0,17.2,5.6,0.0,29.37,29.25,0.13
3/10/2024,55.6,45.7,39.6,45.5,42.1,37.6,98.0,88.0,64.0,15.9,5.1,0.0,29.76,29.33,0.46
3/11/2024,58.1,49.4,39.4,40.8,38.2,35.8,87.0,67.0,45.0,13.0,3.2,0.0,30.05,29.75,0.0
