Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,53.4,40.2,33.4,46.2,38.9,33.1,99.0,96.0,72.0,4.5,0.2,0.0,27.97,27.84,0.0
1/2/2024,45.1,40.8,36.9,44.6,40.4,36.5,99.0,99.0,96.0,2.2,0.0,0.0,27.99,27.88,0.0
1/3/2024,52.7,49.8,44.2,52.3,49.4,43.9,99.0,99.0,99.0,4.7,0.3,0.0,27.91,27.82,0.13
1/4/2024,49.1,46.6,43.0,48.7,46.2,42.6,99.0,99.0,99.0,2.0,0.0,0.0,27.9,27.61,0.2
1/5/2024,50.0,43.8,38.1,46.6,40.1,35.4,99.0,87.0,65.0,6.9,0.6,0.0,27.72,27.53,0.03
1/6/2024,49.5,42.0,34.9,38.7,36.2,33.1,95.0,80.0,64.0,5.8,0.8,0.0,27.94,27.71,0.0
1/7/2024,53.4,41.8,33.4,37.8,34.3,31.5,94.0,76.0,52.0,6.5,0.4,0.0,27.98,27.9,0.0
1/8/2024,47.8,36.7,26.4,38.1,33.1,26.1,99.0,88.0,65.0,2.7,0.1,0.0,27.95,27.84,0.0
1/9/2024,45.9,40.9,38.1,43.2,39.8,37.4,99.0,96.0,89.0,2.2,0.0,0.0,27.89,27.82,0.0
1/10/2024,46.4,41.6,37.9,45.5,41.3,37.6,99.0,99.0,96.0,4.9,0.5,0.0,27.89,27.8,0.02
1/11/2024,53.6,39.6,30.9,41.5,35.5,30.6,99.0,86.0,59.0,3.8,0.2,0.0,27.99,27.81,0.01
1/12/2024,48.0,36.4,28.0,36.3,32.0,27.5,98.0,85.0,59.0,6.0,0.4,0.0,28.07,27.97,0.0
1/13/2024,48.0,41.6,34.0,43.7,39.1,33.3,99.0,91.0,80.0,2.9,0.1,0.0,28.08,27.95,0.0
1/14/2024,46.4,43.2,40.1,46.0,42.9,39.7,99.0,99.0,99.0,3.4,0.1,0.0,27.97,27.82,0.11
1/15/2024,56.1,50.4,43.9,55.8,50.0,43.5,99.0,99.0,99.0,6.0,0.3,0.0,27.83,27.7,0.27
1/16/2024,57.7,54.1,50.9,57.4,53.2,50.5,99.0,97.0,86.0,6.7,0.8,0.0,27.76,27.58,0.03
1/17/2024,53.1,51.1,48.0,52.7,50.8,47.7,99.0,99.0,97.0,10.1,2.0,0.0,27.59,27.37,0.9
1/18/2024,60.4,51.2,48.2,55.6,50.5,47.8,99.0,98.0,83.0,6.9,1.5,0.0,27.64,27.53,0.01
1/19/2024,49.6,44.3,38.7,49.3,43.7,36.1,99.0,98.0,88.0,9.2,1.4,0.0,27.72,27.44,1.35
1/20/2024,56.8,40.2,29.7,45.5,37.3,29.3,99.0,91.0,61.0,3.1,0.1,0.0,28.18,27.72,0.0
1/21/2024,58.3,42.7,32.7,47.3,40.2,32.4,99.0,92.0,64.0,3.8,0.1,0.0,28.32,28.17,0.0
1/22/2024,54.5,40.7,33.6,49.8,40.0,33.3,99.0,98.0,83.0,2.5,0.1,0.0,28.38,28.29,0.0
1/23/2024,64.6,46.1,37.0,56.7,44.7,36.7,99.0,96.0,73.0,2.9,0.1,0.0,28.43,28.35,0.01
1/24/2024,72.3,49.9,38.7,58.5,46.9,38.3,99.0,91.0,56.0,1.3,0.0,0.0,28.43,28.34,0.0
1/25/2024,70.9,49.4,37.6,57.9,46.4,37.2,99.0,91.0,59.0,2.9,0.1,0.0,28.36,28.23,0.0
1/26/2024,72.1,51.2,38.5,54.1,45.9,38.1,99.0,85.0,47.0,2.2,0.1,0.0,28.28,28.18,0.01
1/27/2024,69.4,52.3,41.5,51.6,45.5,40.1,99.0,80.0,49.0,3.6,0.1,0.0,28.21,28.1,0.0
1/28/2024,66.7,50.2,37.8,52.3,45.7,37.4,99.0,86.0,56.0,3.1,0.1,0.0,28.15,28.08,0.0
1/29/2024,64.4,50.4,40.5,49.8,46.4,40.1,99.0,88.0,55.0,3.1,0.1,0.0,28.2,28.1,0.0
1/30/2024,62.1,46.0,36.9,52.9,44.2,36.5,99.0,94.0,69.0,3.4,0.1,0.0,28.26,28.18,0.0
1/31/2024,59.5,43.5,36.7,52.7,42.4,36.3,99.0,96.0,74.0,2.2,0.0,0.0,28.33,28.25,0.0
2/1/2024,68.4,47.4,34.9,51.1,42.3,34.5,99.0,85.0,43.0,2.9,0.1,0.0,28.34,28.24,0.01
2/2/2024,63.7,47.9,36.3,50.9,43.0,36.0,99.0,85.0,58.0,4.9,0.2,0.0,28.25,28.17,0.0
2/3/2024,64.6,48.2,37.9,47.7,42.1,37.6,99.0,82.0,49.0,4.5,0.2,0.0,28.26,28.19,0.0
2/4/2024,69.4,46.9,33.4,46.9,38.7,31.8,98.0,76.0,42.0,2.7,0.1,0.0,28.25,28.16,0.0
2/5/2024,63.7,45.9,33.1,47.5,39.9,31.6,99.0,81.0,47.0,3.6,0.1,0.0,28.2,28.09,0.0
2/6/2024,60.8,46.3,38.1,51.8,44.1,37.8,99.0,93.0,68.0,5.4,0.1,0.0,28.11,28.01,0.0
2/7/2024,52.7,44.1,35.8,52.0,43.6,35.4,99.0,98.0,87.0,4.0,0.2,0.0,28.05,27.9,0.0
2/8/2024,52.3,47.7,44.6,50.5,46.8,43.5,99.0,97.0,72.0,7.6,0.6,0.0,27.91,27.41,0.06
2/9/2024,52.3,48.0,44.6,52.0,47.7,44.2,99.0,99.0,99.0,7.8,0.9,0.0,27.42,26.99,0.65
2/10/2024,55.0,45.5,40.6,45.1,39.9,34.9,99.0,82.0,60.0,7.8,1.5,0.0,27.56,27.06,0.04
2/11/2024,48.4,40.9,36.1,46.2,38.7,34.0,99.0,92.0,80.0,5.4,0.7,0.0,27.69,27.55,0.05
2/12/2024,60.8,48.0,40.1,55.4,46.9,39.7,99.0,96.0,80.0,8.7,0.7,0.0,27.92,27.58,0.01
2/13/2024,61.2,52.3,46.4,58.6,51.4,46.0,99.0,97.0,89.0,2.9,0.1,0.0,28.06,27.88,0.0
2/14/2024,63.7,54.5,46.4,59.4,53.5,46.0,99.0,97.0,84.0,4.5,0.3,0.0,28.07,27.92,0.0
2/15/2024,60.1,52.7,48.9,56.7,51.8,48.6,99.0,97.0,82.0,4.9,0.2,0.0,27.93,27.76,0.11
2/16/2024,64.8,51.7,46.0,49.3,45.8,41.9,99.0,82.0,52.0,7.8,0.9,0.0,28.12,27.84,0.0
2/17/2024,67.1,49.9,35.6,49.8,41.5,35.2,99.0,76.0,36.0,3.6,0.2,0.0,28.28,28.11,0.0
2/18/2024,67.6,49.2,36.7,46.9,40.9,34.7,99.0,76.0,42.0,3.1,0.1,0.0,28.34,28.25,0.0
2/19/2024,69.8,51.6,38.7,55.6,46.2,38.3,99.0,84.0,57.0,4.0,0.2,0.0,28.3,28.17,0.0
2/20/2024,69.1,49.1,35.6,50.7,42.6,35.2,99.0,81.0,50.0,4.7,0.2,0.0,28.25,28.11,0.0
2/21/2024,58.8,47.0,35.4,51.1,41.7,32.4,99.0,82.0,59.0,2.9,0.1,0.0,28.14,27.97,0.0
2/22/2024,55.8,48.7,40.8,53.2,47.5,38.7,99.0,96.0,74.0,7.6,1.2,0.0,27.97,27.6,0.05
2/23/2024,51.4,43.4,35.4,42.6,37.7,34.0,97.0,81.0,59.0,7.6,1.0,0.0,27.71,27.61,0.0
2/24/2024,54.5,44.5,37.2,40.5,36.7,33.8,99.0,76.0,51.0,6.0,1.2,0.0,27.81,27.6,0.01
2/25/2024,58.5,48.8,41.4,53.6,47.8,39.9,99.0,97.0,82.0,9.2,2.3,0.0,27.81,27.5,0.03
2/26/2024,55.0,47.1,41.5,49.3,40.0,33.8,99.0,77.0,53.0,7.4,1.6,0.0,27.72,27.46,0.0
2/27/2024,52.7,44.1,38.8,37.4,32.5,25.7,80.0,64.0,49.0,11.0,2.5,0.0,27.95,27.71,0.0
2/28/2024,58.8,48.4,41.0,43.3,36.7,27.5,75.0,64.0,53.0,11.2,2.3,0.0,27.97,27.91,0.0
2/29/2024,59.7,45.1,32.4,47.8,37.8,30.0,99.0,77.0,52.0,7.8,1.1,0.0,27.95,27.76,0.0
3/1/2024,60.6,45.2,35.8,43.7,36.7,29.8,98.0,73.0,51.0,5.4,0.8,0.0,27.92,27.71,0.0
3/2/2024,45.7,42.2,37.4,45.3,41.5,34.7,99.0,98.0,87.0,12.3,1.9,0.0,27.72,27.3,0.21
3/3/2024,52.7,42.7,35.1,40.1,35.3,31.1,93.0,76.0,55.0,7.2,1.2,0.0,27.76,27.47,0.0
3/4/2024,58.6,47.7,40.3,52.0,44.7,39.9,99.0,90.0,71.0,7.6,1.2,0.0,27.92,27.77,0.0
3/5/2024,61.2,47.5,38.3,41.9,38.7,35.2,94.0,73.0,44.0,4.5,0.5,0.0,28.02,27.92,0.0
3/6/2024,60.6,45.4,33.1,44.8,38.6,32.7,99.0,79.0,52.0,3.6,0.2,0.0,27.99,27.76,0.0
3/7/2024,54.3,43.9,37.2,48.2,41.1,36.1,99.0,90.0,69.0,6.5,0.4,0.0,27.77,27.45,0.59
3/8/2024,52.7,42.9,38.3,46.2,41.4,37.9,99.0,95.0,75.0,7.6,1.6,0.0,27.53,27.29,0.55
3/9/2024,47.7,41.6,37.6,45.3,40.9,37.2,99.0,98.0,85.0,8.5,1.8,0.0,27.28,27.16,0.26
3/10/2024,56.3,45.0,38.8,48.0,42.1,38.5,99.0,91.0,63.0,6.0,1.1,0.0,27.67,27.24,0.19
3/11/2024,59.5,49.0,43.3,43.2,41.0,39.0,92.0,75.0,52.0,5.6,0.8,0.0,27.97,27.67,0.0
3/12/2024,64.4,49.7,37.2,48.7,42.9,36.9,99.0,80.0,52.0,4.0,0.3,0.0,28.0,27.91,0.0
3/13/2024,69.3,51.4,40.8,49.3,43.6,39.4,99.0,78.0,43.0,3.1,0.2,0.0,27.92,27.77,0.0
3/14/2024,63.3,49.4,39.0,53.8,46.2,38.7,99.0,90.0,69.0,6.0,0.6,0.0,27.93,27.8,0.0
3/15/2024,66.6,51.7,41.0,58.1,49.2,40.6,99.0,92.0,66.0,4.3,0.2,0.0,28.04,27.9,0.0
3/16/2024,67.5,52.7,41.5,59.0,50.6,41.2,99.0,93.0,70.0,4.5,0.2,0.0,28.1,28.01,0.0
3/17/2024,72.3,57.6,44.6,60.6,53.2,44.2,99.0,87.0,63.0,3.6,0.2,0.0,28.05,27.9,0.0
3/18/2024,72.0,57.8,45.5,60.6,53.4,45.1,99.0,87.0,60.0,3.8,0.3,0.0,27.94,27.82,0.0
3/19/2024,76.3,61.7,49.6,60.4,53.6,48.2,99.0,77.0,46.0,5.1,0.3,0.0,27.85,27.74,0.0
3/20/2024,74.7,61.8,50.4,57.9,52.3,48.2,94.0,73.0,50.0,5.4,0.4,0.0,27.81,27.71,0.0
3/21/2024,77.0,62.0,54.7,57.4,52.8,50.5,90.0,73.0,49.0,7.4,0.8,0.0,27.97,27.81,0.0
3/22/2024,79.5,63.8,50.5,56.8,52.4,48.4,95.0,70.0,41.0,4.7,0.3,0.0,27.97,27.81,0.0
3/23/2024,77.0,63.5,51.1,60.6,53.7,46.8,87.0,71.0,52.0,6.9,0.6,0.0,27.92,27.78,0.0
3/24/2024,71.2,59.8,50.5,53.8,50.9,47.7,95.0,74.0,49.0,5.8,0.4,0.0,27.83,27.54,0.0
3/25/2024,59.4,54.3,48.4,55.9,51.7,41.5,99.0,91.0,77.0,4.0,0.3,0.0,27.54,27.12,0.01
3/26/2024,55.0,43.5,36.9,42.1,38.2,31.6,99.0,83.0,43.0,8.1,1.3,0.0,27.23,27.15,0.11
3/27/2024,57.0,47.2,37.6,52.3,45.7,37.2,99.0,95.0,74.0,10.7,2.2,0.0,27.3,27.17,0.17
3/28/2024,63.0,51.1,43.0,54.5,48.6,42.6,99.0,92.0,69.0,8.5,2.2,0.0,27.41,27.24,0.5
3/29/2024,49.6,44.2,37.9,49.3,43.8,37.6,99.0,99.0,96.0,6.7,0.7,0.0,27.32,27.22,0.86
3/30/2024,54.0,44.6,38.3,48.2,43.4,37.9,99.0,96.0,78.0,7.6,1.2,0.0,27.32,27.12,0.44
3/31/2024,53.2,43.4,38.8,47.8,41.7,38.5,99.0,95.0,75.0,9.2,1.2,0.0,27.47,27.13,0.36
4/1/2024,57.9,45.2,35.1,48.0,42.0,34.7,99.0,90.0,63.0,8.7,1.1,0.0,27.86,27.46,0.01
4/2/2024,56.5,46.7,37.2,51.3,44.3,36.9,99.0,92.0,74.0,3.6,0.2,0.0,27.9,27.81,0.0
4/3/2024,67.3,54.5,46.2,54.1,49.4,44.8,99.0,85.0,58.0,5.8,0.6,0.0,27.95,27.83,0.0
4/4/2024,71.6,55.1,41.9,57.4,50.0,41.5,99.0,85.0,52.0,3.6,0.3,0.0,27.95,27.82,0.0
4/5/2024,73.6,59.5,48.2,56.1,51.7,47.8,99.0,78.0,45.0,4.5,0.3,0.0,27.88,27.73,0.0
4/6/2024,76.1,63.4,51.8,55.9,51.2,45.9,85.0,66.0,44.0,4.9,0.2,0.0,27.82,27.69,0.0
4/7/2024,72.3,62.5,54.1,59.9,54.6,49.8,98.0,77.0,47.0,6.0,0.6,0.0,27.83,27.7,0.0
4/8/2024,63.9,54.2,47.1,54.9,48.7,37.9,99.0,83.0,53.0,7.6,1.1,0.0,27.9,27.68,0.0
4/9/2024,65.5,52.2,41.0,43.5,38.4,34.0,85.0,61.0,40.0,5.4,0.5,0.0,28.19,27.9,0.0
4/10/2024,72.9,55.1,39.2,53.8,44.4,37.0,93.0,69.0,47.0,6.0,0.5,0.0,28.21,28.1,0.0
4/11/2024,84.0,63.2,43.3,62.8,52.6,43.0,99.0,72.0,42.0,3.6,0.2,0.0,28.18,28.07,0.0
4/12/2024,80.1,63.1,46.0,57.9,49.9,41.9,90.0,64.0,42.0,3.4,0.1,0.0,28.25,28.12,0.0
4/13/2024,84.9,65.8,48.7,59.0,52.5,46.9,99.0,67.0,34.0,3.1,0.1,0.0,28.19,28.05,0.0
4/14/2024,82.9,65.6,49.1,58.5,51.5,46.0,93.0,64.0,36.0,3.1,0.2,0.0,28.1,27.96,0.0
4/15/2024,85.8,67.4,51.8,65.8,54.7,48.6,95.0,67.0,38.0,5.4,0.4,0.0,27.98,27.85,0.0
4/16/2024,82.4,66.1,50.4,59.5,50.3,45.9,88.0,59.0,33.0,6.0,0.5,0.0,27.92,27.76,0.0
4/17/2024,74.7,59.2,45.3,54.1,46.7,41.9,89.0,65.0,43.0,4.9,0.3,0.0,27.84,27.73,0.0
4/18/2024,74.7,58.5,44.4,52.3,44.7,40.6,88.0,62.0,37.0,5.8,0.3,0.0,27.89,27.76,0.0
4/19/2024,73.8,56.9,42.4,53.8,43.6,32.0,83.0,62.0,44.0,4.3,0.3,0.0,27.95,27.79,0.0
4/20/2024,78.6,61.1,46.8,54.7,49.4,43.9,96.0,70.0,31.0,4.3,0.4,0.0,27.83,27.71,0.0
4/21/2024,72.3,66.5,59.0,48.7,42.4,38.7,48.0,42.0,35.0,4.0,0.7,0.0,27.8,27.69,0.0
4/22/2024,65.3,50.4,41.5,40.6,34.6,28.4,75.0,56.0,36.0,7.6,0.6,0.0,27.88,27.74,0.0
4/23/2024,67.1,50.8,34.7,43.5,35.1,28.4,79.0,56.0,40.0,6.7,0.3,0.0,27.89,27.79,0.02
4/24/2024,70.2,52.4,34.9,46.0,37.6,30.6,88.0,60.0,31.0,5.6,0.3,0.0,27.91,27.73,0.0
4/25/2024,69.8,55.7,42.1,48.0,40.4,33.1,79.0,58.0,39.0,5.4,0.3,0.0,27.74,27.53,0.0
4/26/2024,65.1,53.9,43.9,49.6,44.6,41.0,93.0,72.0,53.0,7.4,0.6,0.0,27.57,27.41,0.0
4/27/2024,59.7,50.1,45.1,51.3,46.9,41.4,99.0,89.0,63.0,6.0,0.8,0.0,27.56,27.32,0.53
4/28/2024,66.6,52.0,36.9,49.1,41.7,36.5,99.0,72.0,35.0,5.1,0.2,0.0,27.74,27.55,0.0
4/29/2024,70.3,54.2,41.4,51.8,44.5,39.6,98.0,72.0,41.0,3.8,0.3,0.0,27.79,27.7,0.0
4/30/2024,66.7,53.7,40.6,52.3,46.7,40.3,99.0,80.0,50.0,5.4,0.4,0.0,27.79,27.67,0.01
5/1/2024,61.7,50.2,42.1,50.5,42.7,37.6,99.0,78.0,44.0,5.6,0.4,0.0,27.73,27.61,0.04
5/2/2024,63.5,50.4,41.0,45.7,41.3,37.2,93.0,72.0,47.0,5.4,0.4,0.0,27.87,27.74,0.0
5/3/2024,68.5,54.6,37.2,50.4,45.3,36.9,99.0,74.0,49.0,4.9,0.5,0.0,27.93,27.84,0.0
5/4/2024,75.2,59.5,42.3,55.9,49.3,41.9,99.0,73.0,42.0,7.4,0.6,0.0,27.88,27.78,0.0
5/5/2024,66.7,59.9,52.0,61.7,55.2,50.5,99.0,85.0,65.0,6.5,0.7,0.0,27.83,27.69,0.33
5/6/2024,72.0,59.0,50.9,59.4,51.4,41.5,99.0,79.0,45.0,5.8,0.3,0.0,27.83,27.68,0.09
5/7/2024,77.2,59.3,42.1,55.9,46.7,40.6,96.0,66.0,41.0,4.3,0.4,0.0,27.96,27.82,0.0
5/8/2024,81.9,62.2,46.4,51.1,45.9,41.2,89.0,59.0,28.0,3.4,0.2,0.0,28.0,27.86,0.0
5/9/2024,83.7,65.2,50.5,57.0,49.5,44.6,84.0,59.0,33.0,3.1,0.1,0.0,27.91,27.79,0.0
5/10/2024,85.8,68.2,51.1,59.2,52.1,46.6,87.0,59.0,35.0,3.6,0.1,0.0,27.86,27.73,0.0
5/11/2024,85.1,68.4,54.0,60.4,52.0,46.4,77.0,58.0,37.0,4.5,0.3,0.0,27.82,27.73,0.0
5/12/2024,85.5,70.2,52.9,61.7,55.3,49.6,90.0,61.0,41.0,3.8,0.2,0.0,27.84,27.74,0.0
5/13/2024,83.3,69.7,54.3,62.6,56.1,49.8,87.0,63.0,45.0,6.0,0.4,0.0,27.77,27.55,0.0
5/14/2024,69.4,58.4,46.9,58.6,47.6,42.3,99.0,69.0,47.0,4.0,0.5,0.0,27.63,27.55,0.18
5/15/2024,68.0,56.4,44.4,45.7,42.5,39.7,87.0,61.0,39.0,3.8,0.3,0.0,27.63,27.57,0.01
5/16/2024,66.6,56.3,48.2,49.6,44.3,39.7,80.0,65.0,50.0,5.4,0.5,0.0,27.64,27.58,0.0
5/17/2024,70.3,57.7,49.8,56.3,50.6,44.4,99.0,79.0,49.0,4.7,0.3,0.0,27.68,27.56,0.06
