Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,50.4,42.5,37.4,42.3,39.4,35.1,97.0,89.0,72.0,3.8,0.2,0.0,30.09,29.95,0.0
1/2/2024,49.3,42.3,37.9,48.9,41.6,37.4,99.0,98.0,90.0,3.4,0.1,0.0,30.1,29.99,0.0
1/3/2024,53.2,51.2,48.6,52.9,50.3,46.4,99.0,97.0,84.0,8.5,0.7,0.0,30.02,29.92,0.08
1/4/2024,50.2,48.1,45.0,49.8,47.8,44.6,99.0,99.0,98.0,4.3,0.2,0.0,30.01,29.71,0.2
1/5/2024,49.1,43.9,39.6,47.3,37.8,32.9,99.0,80.0,56.0,13.4,2.8,0.0,29.84,29.65,0.19
1/6/2024,48.4,42.5,38.3,35.1,33.3,31.6,78.0,70.0,57.0,13.6,2.8,0.0,30.05,29.82,0.0
1/7/2024,51.4,41.3,36.0,33.8,31.5,29.3,84.0,69.0,43.0,7.4,0.8,0.0,30.09,30.0,0.0
1/8/2024,46.4,38.7,31.3,35.8,31.9,28.2,90.0,77.0,59.0,1.3,0.0,0.0,30.06,29.95,0.0
1/9/2024,46.4,41.9,39.2,40.5,38.2,35.6,94.0,87.0,78.0,2.0,0.1,0.0,29.99,29.92,0.0
1/10/2024,45.9,42.2,39.2,43.0,40.4,38.1,99.0,94.0,87.0,4.9,0.6,0.0,30.0,29.92,0.04
1/11/2024,46.2,40.1,35.4,41.7,35.1,29.7,98.0,83.0,61.0,4.5,0.2,0.0,30.1,29.93,0.01
1/12/2024,48.2,37.8,31.8,32.9,29.7,26.4,81.0,73.0,52.0,4.0,0.9,0.0,30.18,30.08,0.0
1/13/2024,48.6,42.6,37.4,41.0,36.2,31.5,86.0,78.0,73.0,2.5,0.3,0.0,30.19,30.05,0.0
1/14/2024,48.2,44.8,41.9,47.7,42.5,38.8,98.0,91.0,83.0,4.0,0.2,0.0,30.08,29.93,0.07
1/15/2024,55.8,51.9,47.1,55.0,51.4,46.6,99.0,99.0,95.0,5.8,0.7,0.0,29.94,29.82,0.42
1/16/2024,59.4,54.7,51.4,55.2,52.3,47.5,99.0,92.0,69.0,6.3,0.8,0.0,29.86,29.68,0.03
1/17/2024,54.7,51.9,48.0,52.0,49.7,46.8,99.0,92.0,85.0,9.4,1.9,0.0,29.7,29.48,0.76
1/18/2024,56.8,51.9,49.5,51.6,50.0,48.6,98.0,93.0,79.0,7.2,1.5,0.0,29.76,29.65,0.0
1/19/2024,50.5,44.8,37.9,50.2,43.5,34.2,99.0,95.0,84.0,8.9,1.9,0.0,29.83,29.54,1.32
1/20/2024,57.4,41.2,33.8,42.4,36.1,31.3,97.0,83.0,47.0,2.9,0.2,0.0,30.29,29.82,0.0
1/21/2024,57.0,44.0,37.2,43.2,39.6,35.4,95.0,85.0,57.0,3.6,0.1,0.0,30.42,30.27,0.0
1/22/2024,56.7,42.7,35.8,48.2,40.8,35.4,99.0,93.0,71.0,2.9,0.1,0.0,30.48,30.39,0.0
1/23/2024,65.5,47.9,39.6,53.4,45.2,39.0,98.0,91.0,63.0,2.9,0.1,0.0,30.54,30.45,0.0
1/24/2024,75.9,53.5,45.5,55.2,48.7,43.7,96.0,85.0,46.0,2.2,0.2,0.0,30.54,30.45,0.0
1/25/2024,68.7,53.8,45.7,54.0,47.7,41.5,91.0,81.0,56.0,2.5,0.1,0.0,30.47,30.34,0.0
1/26/2024,73.2,55.5,46.8,49.5,46.0,42.1,86.0,72.0,40.0,2.7,0.1,0.0,30.39,30.29,0.0
1/27/2024,69.1,55.5,48.7,47.1,43.1,39.6,75.0,64.0,41.0,3.4,0.6,0.0,30.31,30.2,0.0
1/28/2024,68.4,53.2,45.7,47.8,43.9,40.5,82.0,71.0,47.0,2.9,0.4,0.0,30.26,30.18,0.0
1/29/2024,60.6,52.3,46.0,47.3,44.3,41.5,89.0,75.0,53.0,2.9,0.2,0.0,30.31,30.2,0.0
1/30/2024,63.7,48.9,42.6,49.5,44.3,40.8,94.0,85.0,57.0,1.8,0.0,0.0,30.37,30.28,0.0
1/31/2024,61.3,46.9,40.3,48.7,43.0,38.8,96.0,87.0,62.0,2.9,0.1,0.0,30.43,30.35,0.0
2/1/2024,69.3,50.8,42.8,47.7,42.2,38.3,94.0,75.0,37.0,2.9,0.2,0.0,30.45,30.34,0.0
2/2/2024,63.7,51.2,42.8,46.2,41.4,37.9,85.0,70.0,52.0,4.0,0.5,0.0,30.36,30.27,0.0
2/3/2024,64.8,51.2,43.7,43.3,40.3,37.2,84.0,68.0,44.0,3.8,0.8,0.0,30.37,30.29,0.0
