Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/6/2024,56.3,45.4,39.6,34.2,30.5,28.9,70.0,57.0,39.0,6.3,0.4,0.0,29.97,29.9,0.03
1/7/2024,66.0,43.7,35.1,34.7,29.3,27.3,77.0,59.0,27.0,6.5,0.3,0.0,30.01,29.94,0.0
1/8/2024,58.6,39.3,29.3,33.4,28.8,24.6,85.0,68.0,33.0,2.2,0.0,0.0,29.99,29.88,0.0
1/9/2024,47.5,42.2,38.8,38.3,36.0,32.4,86.0,79.0,66.0,2.2,0.0,0.0,29.93,29.86,0.0
1/10/2024,48.0,42.2,38.8,46.8,39.2,36.9,97.0,89.0,73.0,3.8,0.5,0.0,29.92,29.84,0.04
1/11/2024,53.6,39.8,31.3,40.3,32.5,26.2,98.0,77.0,45.0,2.5,0.1,0.0,30.03,29.86,0.0
1/12/2024,48.7,36.9,28.8,30.9,27.4,24.1,85.0,69.0,45.0,2.7,0.2,0.0,30.11,30.02,0.0
1/13/2024,48.6,41.0,33.8,39.4,34.5,29.1,90.0,78.0,60.0,1.1,0.0,0.0,30.12,29.99,0.0
1/14/2024,46.6,43.3,40.3,44.4,41.1,37.2,97.0,92.0,84.0,2.2,0.1,0.0,30.01,29.86,0.11
1/15/2024,56.3,49.5,43.0,54.3,48.9,42.3,99.0,98.0,93.0,5.8,0.3,0.0,29.87,29.73,0.2
1/16/2024,58.1,54.2,51.1,54.9,51.5,45.9,99.0,91.0,72.0,4.3,0.5,0.0,29.79,29.62,0.04
1/17/2024,53.2,51.4,49.5,50.9,48.5,45.5,98.0,90.0,82.0,6.9,1.3,0.0,29.63,29.4,0.7
1/18/2024,61.7,52.5,48.6,52.9,48.7,46.2,96.0,87.0,65.0,3.8,0.4,0.0,29.68,29.57,0.0
1/19/2024,50.0,44.5,38.7,49.3,42.4,32.5,99.0,92.0,77.0,5.4,0.8,0.0,29.76,29.48,0.53
1/20/2024,58.3,42.1,31.6,45.3,34.6,30.2,96.0,77.0,42.0,4.5,0.2,0.0,30.22,29.75,0.05
1/21/2024,54.1,43.8,34.7,40.3,37.1,32.7,94.0,78.0,57.0,5.8,1.0,0.0,30.35,30.21,0.0
1/22/2024,53.1,41.3,34.9,44.8,38.5,33.4,96.0,90.0,71.0,11.9,0.9,0.0,30.42,30.33,0.0
1/23/2024,62.1,47.9,37.6,50.7,43.6,36.9,98.0,86.0,64.0,5.4,0.8,0.0,30.47,30.4,0.0
1/24/2024,69.8,52.9,41.9,51.4,45.1,39.9,97.0,77.0,45.0,4.7,0.7,0.0,30.47,30.38,0.0
1/25/2024,68.7,53.0,41.7,50.9,44.4,37.6,91.0,74.0,44.0,6.0,0.8,0.0,30.41,30.27,0.0
1/26/2024,70.2,54.1,43.0,47.1,42.3,38.1,91.0,68.0,32.0,5.6,0.7,0.0,30.32,30.22,0.0
1/27/2024,66.6,54.6,46.2,43.9,39.4,35.2,73.0,58.0,36.0,7.4,1.3,0.0,30.25,30.14,0.0
1/28/2024,66.4,52.6,41.2,45.9,41.1,37.0,85.0,67.0,42.0,6.0,1.0,0.0,30.19,30.12,0.0
1/29/2024,62.8,51.9,44.2,45.0,41.9,38.8,87.0,70.0,43.0,5.4,1.0,0.0,30.24,30.14,0.0
1/30/2024,59.2,48.4,41.2,46.6,42.9,39.2,94.0,82.0,60.0,5.1,0.8,0.0,30.31,30.22,0.0
1/31/2024,56.8,45.1,37.9,46.2,41.1,36.1,95.0,87.0,65.0,4.5,0.6,0.0,30.37,30.29,0.0
2/1/2024,66.0,50.0,38.1,43.0,38.4,34.7,94.0,68.0,33.0,6.3,1.0,0.0,30.38,30.27,0.0
2/2/2024,60.3,49.8,39.7,43.2,38.4,34.3,83.0,66.0,45.0,12.1,1.7,0.0,30.29,30.21,0.0
2/3/2024,61.0,49.8,38.1,41.9,37.2,34.2,88.0,64.0,37.0,10.5,1.5,0.0,30.3,30.23,0.0
2/4/2024,64.9,48.9,36.3,36.9,32.6,27.5,77.0,56.0,29.0,6.3,1.0,0.0,30.29,30.2,0.0
2/5/2024,60.3,47.8,36.3,40.6,33.9,25.7,81.0,60.0,38.0,5.4,0.9,0.0,30.25,30.13,0.0
2/6/2024,58.8,47.6,39.7,46.9,40.3,34.7,95.0,76.0,58.0,8.1,1.7,0.0,30.15,30.04,0.0
2/7/2024,51.8,43.9,35.8,47.7,41.7,33.6,98.0,92.0,78.0,8.3,1.2,0.0,30.09,29.94,0.0
2/8/2024,53.1,47.5,45.5,47.1,44.7,37.2,99.0,91.0,56.0,20.6,2.5,0.0,29.94,29.46,0.1
2/9/2024,52.2,48.2,44.6,50.7,47.2,42.6,99.0,96.0,88.0,17.5,3.7,0.0,29.46,29.03,0.67
2/10/2024,51.8,46.0,41.5,44.2,34.5,27.9,98.0,65.0,48.0,27.5,10.0,0.0,29.6,29.09,0.02
2/11/2024,45.7,41.4,37.6,40.5,35.1,28.8,97.0,79.0,61.0,17.9,5.6,0.0,29.72,29.59,0.01
2/12/2024,61.0,48.0,40.1,50.4,44.3,39.0,99.0,88.0,48.0,18.6,5.1,0.0,29.96,29.63,0.02
2/13/2024,61.5,52.3,46.0,54.3,49.6,45.5,99.0,91.0,73.0,6.5,0.9,0.0,30.1,29.92,0.0
2/14/2024,61.2,54.8,48.6,54.0,51.4,48.0,99.0,89.0,74.0,9.4,1.4,0.0,30.11,29.96,0.0
2/15/2024,61.0,53.6,49.8,52.5,50.0,46.0,98.0,88.0,64.0,11.9,2.4,0.0,29.97,29.8,0.08
2/16/2024,60.1,52.6,47.8,46.8,40.7,36.7,89.0,65.0,43.0,19.5,5.5,0.0,30.16,29.87,0.0
2/17/2024,66.6,51.1,36.5,42.1,35.9,27.3,90.0,60.0,24.0,10.3,1.4,0.0,30.32,30.15,0.0
