Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,51.3,40.6,32.9,41.2,36.6,31.6,97.0,87.0,59.0,11.2,1.5,0.0,29.95,29.81,0.0
1/2/2024,49.1,40.9,34.0,48.6,39.4,32.9,98.0,94.0,84.0,7.4,0.8,0.0,29.96,29.85,0.01
1/3/2024,53.8,51.0,45.0,53.1,50.2,43.7,99.0,97.0,93.0,14.8,3.4,0.0,29.88,29.78,0.08
1/4/2024,50.5,47.9,44.6,49.8,47.4,43.7,99.0,98.0,96.0,8.1,1.1,0.0,29.86,29.57,0.2
1/5/2024,49.1,44.3,39.0,47.3,36.9,30.6,99.0,77.0,50.0,20.4,5.8,0.0,29.69,29.5,0.09
1/6/2024,48.4,42.7,37.9,34.0,32.0,30.0,75.0,66.0,53.0,19.9,5.8,0.0,29.9,29.68,0.0
1/7/2024,52.9,40.3,29.5,32.7,30.1,26.2,89.0,69.0,41.0,13.4,2.1,0.0,29.94,29.86,0.0
1/8/2024,46.8,35.3,24.3,34.7,28.9,22.1,94.0,79.0,53.0,8.1,1.2,0.0,29.92,29.81,0.0
1/9/2024,46.2,41.6,39.2,38.7,36.7,33.4,91.0,83.0,72.0,6.5,0.9,0.0,29.85,29.78,0.0
1/10/2024,45.9,42.1,39.7,42.3,39.6,37.4,96.0,91.0,84.0,10.7,2.6,0.0,29.86,29.77,0.01
1/11/2024,51.3,39.5,30.6,41.2,32.7,27.9,98.0,79.0,46.0,10.1,1.8,0.0,29.96,29.79,0.01
1/12/2024,46.8,36.2,27.1,32.4,28.1,23.9,89.0,73.0,50.0,9.6,1.7,0.0,30.04,29.94,0.0
1/13/2024,48.9,41.3,34.0,39.9,34.9,29.1,89.0,78.0,67.0,6.5,1.0,0.0,30.05,29.92,0.0
1/14/2024,49.5,44.2,39.0,47.7,41.6,36.3,94.0,90.0,82.0,11.2,1.4,0.0,29.93,29.78,0.09
1/15/2024,57.0,51.8,46.0,55.2,51.0,45.1,99.0,97.0,88.0,21.7,3.6,0.0,29.79,29.67,0.26
1/16/2024,59.2,55.4,52.3,54.9,51.5,44.8,97.0,87.0,65.0,15.9,5.2,0.0,29.72,29.54,0.01
1/17/2024,54.7,52.4,49.6,51.3,48.7,45.5,97.0,87.0,79.0,18.3,8.4,0.2,29.55,29.33,0.62
1/18/2024,58.1,52.4,50.2,50.5,48.8,47.5,94.0,88.0,73.0,18.3,6.6,0.0,29.61,29.5,0.0
1/19/2024,50.9,44.7,39.6,49.8,42.4,34.2,98.0,92.0,80.0,19.9,5.6,0.0,29.69,29.4,1.2
1/20/2024,54.9,40.7,29.7,42.1,34.3,28.6,96.0,80.0,43.0,9.6,1.2,0.0,30.15,29.68,0.0
1/21/2024,54.7,42.5,32.5,42.3,37.8,31.8,97.0,85.0,57.0,6.9,1.0,0.0,30.28,30.13,0.01
1/22/2024,53.8,39.8,31.1,45.5,37.5,30.4,98.0,92.0,71.0,5.1,0.7,0.0,30.35,30.26,0.0
1/23/2024,62.8,46.1,33.6,50.7,42.3,33.1,98.0,88.0,62.0,4.5,0.9,0.0,30.4,30.32,0.01
1/24/2024,70.5,50.0,36.9,53.1,44.5,36.3,98.0,84.0,50.0,5.1,0.7,0.0,30.4,30.3,0.01
1/25/2024,67.6,49.6,37.0,51.1,43.8,36.3,98.0,83.0,49.0,6.0,0.9,0.0,30.33,30.2,0.01
1/26/2024,71.6,50.7,38.7,48.6,42.2,36.9,96.0,77.0,37.0,4.9,0.8,0.0,30.25,30.15,0.0
1/27/2024,66.7,51.5,42.4,48.7,41.6,37.6,89.0,72.0,38.0,8.5,1.2,0.0,30.17,30.06,0.0
1/28/2024,65.7,49.8,38.3,47.1,41.5,36.0,93.0,75.0,44.0,6.9,1.4,0.0,30.11,30.04,0.0
1/29/2024,61.0,50.0,40.8,45.7,42.0,38.5,93.0,76.0,48.0,8.9,1.6,0.0,30.17,30.07,0.0
1/30/2024,59.7,46.0,36.5,46.6,41.0,35.2,96.0,84.0,59.0,6.0,0.9,0.0,30.23,30.14,0.0
1/31/2024,57.4,42.8,33.8,45.7,39.2,33.1,97.0,88.0,63.0,5.8,0.8,0.0,30.3,30.21,0.01
2/1/2024,66.6,46.6,32.7,44.4,38.4,31.8,97.0,77.0,37.0,5.1,0.7,0.0,30.31,30.2,0.01
2/2/2024,60.4,46.9,34.7,44.8,38.8,32.9,95.0,76.0,51.0,12.8,2.3,0.0,30.22,30.13,0.0
2/3/2024,61.5,47.6,37.9,43.2,38.2,33.8,91.0,72.0,42.0,11.9,2.1,0.0,30.22,30.15,0.0
2/4/2024,67.6,46.0,32.5,40.1,34.6,29.7,91.0,69.0,31.0,4.9,0.8,0.0,30.21,30.12,0.0
2/5/2024,62.2,44.8,32.0,43.3,36.1,29.8,93.0,75.0,39.0,5.8,0.9,0.0,30.17,30.05,0.0
2/6/2024,59.9,46.4,35.4,47.7,40.8,33.6,95.0,82.0,55.0,9.2,1.6,0.0,30.07,29.97,0.0
2/7/2024,52.7,46.4,37.4,48.0,43.5,35.2,97.0,90.0,74.0,14.3,2.4,0.0,30.02,29.86,0.0
2/8/2024,55.4,49.0,46.2,48.0,44.4,35.8,97.0,85.0,48.0,16.8,4.4,0.0,29.87,29.37,0.02
2/9/2024,54.0,49.4,46.2,50.2,47.1,43.2,98.0,92.0,83.0,17.4,5.7,0.0,29.38,28.96,0.33
2/10/2024,52.3,45.9,41.9,44.4,36.4,30.4,96.0,70.0,51.0,25.7,8.8,0.0,29.52,29.02,0.03
2/11/2024,46.2,41.4,36.0,41.0,35.7,29.1,94.0,81.0,58.0,24.2,4.9,0.0,29.66,29.5,0.02
2/12/2024,59.9,48.7,41.5,50.4,45.5,39.9,99.0,89.0,68.0,16.3,4.2,0.0,29.89,29.55,0.01
2/13/2024,61.7,53.4,46.6,54.5,50.0,45.7,97.0,89.0,72.0,8.7,1.5,0.0,30.02,29.84,0.0
2/14/2024,64.2,54.1,44.1,55.0,50.4,43.3,98.0,88.0,70.0,8.5,1.4,0.0,30.03,29.88,0.0
2/15/2024,59.4,53.2,49.1,52.0,49.5,46.8,94.0,88.0,67.0,16.3,3.2,0.0,29.89,29.72,0.13
2/16/2024,61.3,51.5,39.9,47.3,41.5,36.3,93.0,70.0,45.0,15.9,4.4,0.0,30.09,29.8,0.0
2/17/2024,67.8,47.5,33.8,43.0,37.0,32.0,95.0,71.0,29.0,8.9,1.4,0.0,30.24,30.08,0.0
2/18/2024,66.4,47.6,32.9,41.7,36.1,30.4,92.0,69.0,30.0,7.2,0.9,0.0,30.31,30.21,0.0
2/19/2024,68.9,51.4,36.1,48.7,41.9,33.8,93.0,72.0,45.0,7.4,1.0,0.0,30.27,30.13,0.0
2/20/2024,67.5,50.4,33.6,44.8,37.5,30.9,91.0,65.0,36.0,10.3,1.4,0.0,30.2,30.07,0.0
2/21/2024,60.4,49.2,34.2,47.3,40.7,32.0,94.0,74.0,50.0,8.9,1.6,0.0,30.11,29.93,0.0
2/22/2024,54.1,50.4,45.0,50.9,45.7,33.4,94.0,84.0,59.0,22.8,6.1,0.0,29.94,29.56,0.12
