Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,51.1,38.2,30.0,37.6,30.4,22.8,91.0,76.0,36.0,3.4,0.3,0.0,26.78,26.66,0.0
1/2/2024,40.8,35.1,29.8,39.9,33.1,27.3,96.0,93.0,88.0,4.5,0.3,0.0,26.78,26.68,0.02
1/3/2024,50.2,44.3,38.3,48.6,43.1,36.7,97.0,95.0,83.0,8.3,0.4,0.0,26.73,26.65,0.2
1/4/2024,44.8,38.7,30.2,43.0,37.5,29.3,97.0,95.0,90.0,3.8,0.1,0.0,26.72,26.42,0.04
1/5/2024,40.8,37.0,34.7,39.4,33.9,31.1,97.0,89.0,73.0,11.2,2.0,0.0,26.53,26.34,0.28
1/6/2024,39.0,35.7,32.5,33.6,31.2,28.9,92.0,84.0,73.0,10.5,2.7,0.0,26.73,26.52,0.04
1/7/2024,39.2,35.8,32.2,31.5,29.6,28.0,88.0,78.0,69.0,6.9,0.7,0.0,26.78,26.71,0.0
1/8/2024,46.4,36.3,26.4,30.9,27.2,22.5,86.0,71.0,42.0,5.4,0.6,0.0,26.74,26.63,0.0
1/9/2024,40.6,36.2,32.7,35.2,32.7,28.4,92.0,87.0,77.0,2.2,0.1,0.0,26.69,26.62,0.0
1/10/2024,41.9,37.1,33.3,39.0,35.1,32.0,96.0,93.0,82.0,6.9,0.2,0.0,26.67,26.6,0.54
1/11/2024,41.4,34.5,25.7,34.5,28.8,22.5,96.0,81.0,56.0,7.2,1.1,0.0,26.79,26.63,0.0
1/12/2024,41.2,28.5,17.8,29.1,23.3,15.8,93.0,82.0,52.0,4.3,0.1,0.0,26.88,26.77,0.0
1/13/2024,48.0,35.4,24.4,38.3,31.0,22.5,93.0,85.0,61.0,2.9,0.1,0.0,26.88,26.77,0.0
1/14/2024,49.3,41.7,33.8,44.8,39.2,31.8,95.0,91.0,77.0,7.4,0.6,0.0,26.78,26.63,0.07
1/15/2024,55.4,46.4,41.4,51.8,45.2,40.5,97.0,95.0,83.0,9.2,0.3,0.0,26.65,26.52,0.41
1/16/2024,52.9,49.2,45.9,52.2,47.7,44.1,98.0,95.0,82.0,6.0,0.7,0.0,26.58,26.42,0.08
1/17/2024,53.4,47.7,40.3,47.7,43.7,37.9,97.0,87.0,65.0,9.6,1.3,0.0,26.43,26.19,0.71
1/18/2024,58.8,49.0,42.8,47.3,40.9,37.6,93.0,75.0,51.0,8.7,1.9,0.0,26.48,26.33,0.0
1/19/2024,43.5,39.4,32.2,41.5,38.0,31.3,97.0,95.0,88.0,6.5,0.5,0.0,26.54,26.3,1.01
1/20/2024,51.6,36.1,26.1,38.5,31.3,24.8,96.0,84.0,48.0,5.6,0.3,0.0,26.98,26.53,0.0
1/21/2024,53.1,37.9,27.3,41.0,32.5,25.7,94.0,83.0,42.0,3.4,0.2,0.0,27.11,26.97,0.0
1/22/2024,57.9,42.3,28.9,49.3,38.8,27.7,96.0,88.0,70.0,7.4,0.7,0.0,27.18,27.07,0.0
1/23/2024,65.1,48.1,35.6,53.1,42.9,34.7,96.0,84.0,47.0,7.6,0.4,0.0,27.25,27.15,0.0
1/24/2024,67.5,46.4,31.8,49.8,38.2,30.7,96.0,77.0,33.0,3.4,0.2,0.0,27.25,27.17,0.0
1/25/2024,69.3,47.3,32.9,49.3,38.0,30.4,93.0,74.0,35.0,2.5,0.1,0.0,27.2,27.06,0.0
1/26/2024,70.7,48.6,33.8,45.9,37.1,31.1,91.0,69.0,31.0,2.9,0.2,0.0,27.11,27.03,0.0
1/27/2024,66.6,46.9,34.5,45.7,36.8,30.9,88.0,71.0,35.0,2.2,0.1,0.0,27.07,26.94,0.0
1/28/2024,61.5,44.6,32.9,45.9,38.3,30.9,94.0,80.0,53.0,4.0,0.2,0.0,26.98,26.91,0.0
1/29/2024,58.8,44.6,34.2,46.6,39.1,32.2,94.0,83.0,57.0,3.1,0.1,0.0,27.01,26.93,0.0
1/30/2024,61.0,42.1,29.7,45.7,36.5,28.4,96.0,82.0,47.0,4.0,0.2,0.0,27.08,26.97,0.0
1/31/2024,59.4,40.6,27.1,46.2,33.7,25.5,94.0,79.0,41.0,6.9,0.6,0.0,27.14,27.04,0.0
2/1/2024,63.9,44.4,29.1,42.8,33.4,26.6,91.0,69.0,31.0,5.6,0.6,0.0,27.16,27.06,0.0
2/2/2024,62.2,45.0,33.1,45.0,34.6,27.1,91.0,69.0,38.0,4.0,0.3,0.0,27.09,26.99,0.0
2/3/2024,61.5,41.4,28.6,44.2,33.7,26.6,95.0,77.0,44.0,4.5,0.2,0.0,27.07,27.01,0.0
2/4/2024,66.4,42.6,26.8,40.5,29.4,21.6,85.0,64.0,25.0,4.0,0.3,0.0,27.07,26.98,0.0
2/5/2024,59.9,42.2,28.2,41.2,32.9,25.7,91.0,73.0,37.0,2.9,0.2,0.0,27.04,26.91,0.0
2/6/2024,59.2,43.0,30.9,43.0,33.6,26.2,89.0,72.0,37.0,5.8,0.4,0.0,26.94,26.82,0.0
2/7/2024,51.1,39.2,29.1,41.5,34.9,26.6,95.0,85.0,61.0,5.8,0.5,0.0,26.87,26.71,0.0
2/8/2024,47.1,42.2,38.7,43.5,39.3,37.0,97.0,90.0,73.0,5.8,0.6,0.0,26.72,26.23,0.35
2/9/2024,46.9,43.4,39.6,46.0,42.3,38.7,97.0,96.0,94.0,6.0,0.3,0.0,26.24,25.83,0.97
2/10/2024,44.4,38.7,34.3,39.0,33.8,28.2,96.0,83.0,64.0,12.3,2.8,0.0,26.34,25.87,0.44
2/11/2024,46.4,38.8,34.7,37.2,32.7,27.7,95.0,79.0,60.0,9.2,1.4,0.0,26.47,26.33,0.01
