Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,49.3,40.3,34.1,38.6,31.8,23.5,87.0,72.0,39.0,13.2,1.9,0.0,29.68,29.55,0.0
1/2/2024,45.6,40.1,34.8,44.8,37.2,30.3,97.0,89.0,72.0,8.9,1.1,0.0,29.68,29.6,0.0
1/3/2024,52.8,48.2,45.3,48.4,44.9,37.3,98.0,89.0,63.0,16.6,3.1,0.0,29.64,29.57,0.18
1/4/2024,48.9,43.6,40.1,44.1,40.2,36.9,96.0,88.0,64.0,15.4,1.8,0.0,29.63,29.33,0.08
1/5/2024,42.0,36.9,34.0,40.6,32.7,29.8,95.0,85.0,69.0,31.1,12.3,0.9,29.39,29.24,1.82
1/6/2024,39.9,35.8,33.1,32.3,29.9,28.1,84.0,79.0,67.0,31.3,9.2,0.0,29.63,29.37,1.96
1/7/2024,44.8,36.1,30.5,29.8,26.8,23.6,83.0,69.0,48.0,11.2,2.1,0.0,29.67,29.6,0.0
1/8/2024,43.8,35.7,28.6,31.9,26.9,20.7,89.0,71.0,48.0,4.9,0.9,0.0,29.65,29.54,0.0
1/9/2024,38.8,36.7,34.2,35.8,34.0,30.9,95.0,90.0,81.0,4.9,0.6,0.0,29.58,29.52,0.0
1/10/2024,43.8,38.4,35.4,39.1,36.0,33.9,96.0,91.0,71.0,23.5,4.4,0.0,29.58,29.5,0.3
1/11/2024,43.7,36.5,30.8,34.3,28.9,23.0,90.0,74.0,47.0,11.6,1.8,0.0,29.68,29.52,0.0
1/12/2024,42.7,34.4,28.5,32.4,25.8,20.3,87.0,71.0,45.0,6.0,1.1,0.0,29.76,29.65,0.0
1/13/2024,48.6,41.4,35.6,43.0,36.6,31.9,91.0,83.0,65.0,3.1,0.3,0.0,29.78,29.67,0.0
1/14/2024,53.3,46.8,41.3,47.2,40.8,34.3,92.0,80.0,55.0,21.9,3.9,0.0,29.69,29.55,0.17
1/15/2024,55.3,51.2,46.9,50.6,48.0,45.5,96.0,89.0,78.0,18.3,4.3,0.0,29.56,29.46,0.43
1/16/2024,54.3,49.3,46.0,50.3,47.6,43.6,98.0,94.0,82.0,13.2,2.1,0.0,29.51,29.32,0.18
1/17/2024,47.8,45.5,41.3,47.3,44.2,39.3,98.0,95.0,78.0,19.9,2.8,0.0,29.34,29.12,0.83
1/18/2024,53.8,46.6,43.1,49.6,44.0,40.7,97.0,91.0,79.0,11.0,2.0,0.0,29.39,29.28,0.04
1/19/2024,44.5,41.0,34.3,43.2,39.2,30.2,96.0,93.0,83.0,10.5,1.8,0.0,29.42,29.18,1.06
1/20/2024,48.2,37.9,31.4,37.2,32.5,24.8,96.0,82.0,41.0,5.8,0.6,0.0,29.88,29.42,0.01
1/21/2024,48.9,39.5,31.4,41.3,35.2,29.1,96.0,85.0,65.0,6.0,0.7,0.0,30.01,29.86,0.0
